abate,
abdicate,
aberrant,
abeyance,
abject,
abjure,
abscission,
abscond,done
abstemious,
abstinence,
abysmal,
accretion,
accrue,
adamant,
adjunct,
admonish,
adulterate,
aesthetic,
affected,done
affinity,done
aggrandize,
aggregate,
alacrity,
alchemy,
allay,
alleviate,
alloy,
allure,
amalgamate,
ambiguous,
ambivalence,
ambrosia,
ameliorate,
amenable,
amenity,
amulet,
anachronism,
analgesic,
analogous,
anarchy,
anodyne,
anomalous,
antecedent,
antediluvian,
antipathy,
apathy,
apex,
apogee,
apothegm,
appease,done
appellation,
apposite,
apprise,
approbation,
appropriate,done
apropos,
arabesque,
archeology,
ardor,
arduous,done
argot,
arrest,done
artifact,done
artless,
ascetic,
asperity,
aspersion,
assiduous,
assuage,
astringent,done
asylum,done
atavism,
attenuate,
audacious,
austere,
autonomous,done
avarice,
aver,
avocation,
avuncular,
axiomatic,
bacchanalian,
banal,done
banter,
bard,
bawdy,
beatify,
bedizen,
behemoth,
belie,done
beneficent,
bifurcate,
blandishment,
blase,
bolster,
bombastic,
boorish,
bovine,
brazen,
broach,
bucolic,
burgeon,
burnish,
buttress,done
cacophonous,
cadge,
callous,
calumny,
canard,
canon,
cant,
cantankerous,
capricious,
captious,
cardinal,
carnal,
carping,
cartography,
caste,
castigation,
cataclysm,
catalyst,
categorical,done
caucus,
causal,done
caustic,
celestial,
centrifugal,
centripetal,
champion,done
chasten,
chicanery,
chivalry,
churlish,
circuitous,
clairvoyant,
clamor,
clique,
coagulate,
cloister,
coalesce,
coda,
codify,
cognizant,
collage,
commensurate,
compendium,
complacent,
complaisant,
complement,done
compliant,
compunction,
concave,
conciliatory,
concoct,
concomitant,
condone,
confound,
congenial,done
conjugal,
connoisseur,
conscript,
consecrate,
contend,done
contentious,done
continence,
contrite,
contumacious,
conundrum,done
contiguous,
convention,done
converge,
convex,
convivial,
convoluted,
copious,
coquette,
cornucopia,
cosmology,
covert,
covetous,
cozen,
craven,
credence,
credo,
daunt,
dearth,
debauchery,
decorum,
defame,
default,done
deference,
defunct,done
delineate,done
demographic,done
demotic,
demur,done
denigrate,
denizen,
denouement,
deride,
derivative,done
desiccate,
desuetude,
desultory,
deterrent,done
detraction,
diaphanous,
diatribe,
dichotomy,
diffidence,
diffuse,
digression,
dirge,
disabuse,
discerning,
discomfit,
discordant,
discredit,done
discrepancy,
discrete,
discretion,
disingenuous,
disinterested,
disjointed,
dismiss,done
disparage,done
disparate,
dissemble,
disseminate,
dissident,done
dissolution,
dissonance,
distend,
distill,
distrait,
diverge,
divest,
divulge,
doctrinaire,
document,
doggerel,
dogmatic,
dormant,
dross,
dupe,
ebullient,
eclectic,
effervescence,
effete,
efficacy,
effrontery,
egoism,
egotistical,
elegy,
elicit,
elixir,
elysian,
emaciated,
embellish,
emollient,done
empirical,done
emulate,
encomium,
endemic,
enervate,
engender,
enhance,
entomology,
enuciate,
ephemeral,
epistemology,
equable,
equanimity,
equivocation,
errant,
erudite,
esoteric,
essay,done
estimable,
ethnocentric,
etiology,
etymology,
eugenics,
eulogy,
euphemism,done
euphoria,
euthanasia,
evince,
evocative,
exacerbate,
exact,done
exculpate,
execrable,
exhort,done
exigency,
existential,
exorcise,
expatiate,done
expatriate,done
expiate,
explicate,
expository,
extant,
extemporaneous,
extirpate,
extraneous,
extrapolation,
extrinsic,
facetious,
facilitate,to make easier :  help bring about <facilitate growth>
factotum,
fallacious,
fallow,
fatuous,done
fauna,
fawning,
felicitous,
feral,
fervor,
fetid,
fetter,
fiat,done
fidelity,
filibuster,
finesse,
fissure,
flag,
fledgling,
flora,
florid,
flourish,done
flout,done
flux,
foment,
forbearance,
forestall,
formidable,done
forswear,
founder,done
fracas,
fractious,
fresco,done
frieze,
froward,
frugality,done
fulminate,
fulsome,
fusion,done
futile,
gainsay,
gambol,
garrulous,done
gauche,
geniality,
gerrymander,
glib,done
goad,
gossamer,
gouge,
grandiloquent,
gregarious,
grouse,
guileless,
guise,
gullible,
gustatory,
halcyon,
hallowed,
harangue,
harrowing,
herbivorous,
hermetic,
heterodox,
hieroglyphics,
hirsute,
histrionic,
homeostasis,
homily,
homogeneous,
hyperbole,
iconoclastic,done
idolatry,
igneous,
imbroglio,
immutable,
impair,done
impassive,
impecunious,
impede,done
impermeable,
imperturbable,
impervious,
impinge,done
implacable,
implausible,
implicit,
implode,
imprecation,
impute,
inadvertently,
incarnate,
inchoate,
incongruity,
inconsequential,done
incorporate,
incursion,
indeterminate,
indigence,
indolent,
ineluctable,
inert,done
ingenuous,
inherent,done
innocuous,
insensible,
insinuate,
insipid,
insouciant,
insularity,
insuperable,
intangible,done
interdict,
internecine,
interpolate,
interregnum,
intimate,done
intractable,
intransigence,
introspective,
inundate,
inured,
invective,
inveigh,
inveigle,
inveterate,
invidious,
irascible,
irresolute,
itinerant,
itinerary,
jaundiced,
jibe,
jocose,
juggernaut,done
junta,
juxtapose,
kudos,
labile,
laconic,
lambaste,
lascivious,
lassitude,
latent,
laud,
lethargic,
levee,
levity,
liberal,done
libertine,
libido,
lilliputian,
limn,
limpid,
linguistic,
litany,
literati,
litigation,
log,done
loquacious,
lucid,done
lucre,
luminous,
lustrous,
machiavellian,
machinations,
maelstrom,
magnanimity,done
malign,
malinger,
malleable,
maverick,
megalomania,
menagerie,
mendacious,
mendicant,
meretricious,
mesmerize,
metamorphosis,
metaphysics,
meteorological,
meticulous,
mettle,
mettlesome,
microcosm,
militate,
minatory,
minuscule,done
minutia,
misanthrope,
miscellany,
miscreant,done
misogynist,
mitigate,
mnemonic,
modicum,
mollify,
monolithic,
morose,
motley,
multifarious,
mundane,done
necromancy,
negate,
neologism,
neophyte,
nexus,
nonplussed,
nostalgia,done
nostrum,
nugatory,
obdurate,
obsequious,
obsequy,
obviate,
occlude,
occult,
odyssey,
officious,
olfactory,
oligarchy,
onerous,
onomatopoeia,
opprobrium,
ornithologist,
oscillate,
ostentatious,done
overweening,
paean,
paleontology,
pallid,
panegyric,
paragon,
partisan,done
pathological,
patois,
paucity,
pedantic,
pellucid,
penchant,
penurty,
peregrination,
peremptory,
perennial,done
perfidious,
perfunctory,
perigee,
permeable,
perturb,
pervasive,
petulant,
phlegmatic,
phoenix,
physiognomy,
piety,
piquant,
pique,
placate,
placid,
plaintive,
plasticity,
platitude,
platonic,
plethora,
plumb,done
plume,done
plummet,
plutocracy,
porous,
poseur,
pragmatic,
prate,
prattle,
preamble,
precarious,
precept,
precipitate,
precursor,
preempt,
prehensile,
premonition,
presage,
presumptuous,
preternatural,
prevaricate,
primordial,
pristine,
probity,
problematic,
prodigal,
profound,done
prohibitive,
proliferate,
propitiate,
propensity,
propriety,
proscribe,
provident,
puissant,
punctilious,
pungent,
purport,done
pusillanimous,
quagmire,
quail,done
qualified,
qualm,
query,
quibble,
quiescent,
quorum,
raconteur,
rail,
raiment,
ramification,done
rarefied,
rationale,
rebus,
recalcitrant,done
recant,
recluse,
recondite,
redoubtable,
refractory,
refract,
refulgent,
refute,
regale,
relegate,
remonstrate,
renege,
reparation,
repine,
reprise,
reproach,done
reprobate,
repudiate,
rescind,
resolution,
resolve,done
reticent,
reverent,
riposte,
rococo,
rubric,
rue,done
ruse,
sage,
salacious,
salubrious,
salutary,
sanction,
sardonic,
sartorial,done
satiate,
saturate,
saturnine,
satyr,
savor,
schematic,
secrete,done
sedition,
sedulous,
seismic,
sensual,
sensuous,
sentient,done
servile,
sextant,
shard,
sidereal,
simian,
simile,
sinecure,
singular,
sinuous,
skeptic,done
sobriety,
sodden,
solicitous,
soliloquy,
solvent,
somatic,
soporific,
sordid,
specious,
spectrum,
spendthrift,
sporadic,
squalor,
staccato,
stanch,
stentorian,
stigma,
stint,
stipulate,
stolid,
stratified,
striated,
stricture,
strident,
strut,
stultify,done
stupefy,
stygian,
subpoena,
subside,
substantiate,
substantive,
subsume,done
subversive,
succor,
suffrage,done
sundry,
supersede,
supine,
supplant,done
suppliant,
supplicant,
supposition,done
syllogism,
sylvan,done
tacit,
talisman,
tangential,
tautology,
taxonomy,
tenet,
tenuous,
terrestrial,
theocracy,
thespian,
timbre,
tirade,
toady,
tome,
torpor,
torque,
tortuous,
tout,done
tractable,
transgression,
transient,
translucent,
travail,
travesty,
treatise,done
tremulous,
trepidation,
truculence,
tryst,
anomie,
tumid,
turbid,
turgid,
tutelary,
uncanny,
undulating,
unfeigned,
untenable,
untoward,
usury,
vacillate,
vacuous,
valedictory,
vapid,
variegated,
vaunt,
venal,
vendetta,
venerate,
veracious,
verbose,
vertigo,
vexation,
viable,
vindictive,
virtuoso,
visage,
viscous,
vitiate,
vituperative,
vivisection,
vogue,
volatile,
vortex,
warranted,
wary,done
welter,
whimsical,
whimsy,
wistful,
zealot,
zealotry,
de facto,
deviant,
defer,
bionics,
heuristic,done
equitable,
guile,
reductionistic,
inertia,
pathos,
pedant,
unnerve,
candid,
slapdash,
telltale,
insolvent,
affluent,
indignant,
thrifty,
screed,
remiss,
pine,
demean,
dog,
amiable,
err,done
tender,
underwrite,
indict,
inflammable,
miser,
stipend,
variance,
profuse,
pinnacle,
peruse,
retiring,
censor,done
macabre,
indigenous,
hound,
affable,
erratic,
diabolical,
serendipity,
demure,
zenith,
voracious,
start,done
sanctimonious,
unconscionable,
aboveboard,
heyday,
immaterial,
scintillating,
badger,
chauvinist,
imponderable,
pugnacious,
pittance,
check,done
desecrate,
amuck,
virago,
melee,
animosity,
checkered,
flush,
replete,
vicarious,
beatific,
preemptive,
sanguine,
cadaverous,
raft,
adequate,
extenuating,
fleece,
wax,
raffish,
meander,
ingenuity,
flounder,
consummate,
disenfranchise,done
robust,
appreciable,
muted,
elusive,
discriminate,
quandary,
respite,
boon,
proponent,
thwart,
avid,
guffaw,done
transitory,
fete,
disheartened,
autonomously,
patronize,
inclement,
ornate,
ascendancy,
incessant,
apprehension,
plodding,
malady,
advocate,
deter,
jocular,
archaic,
debase,
commendable,
tumult,
impeccable,
benign,done
martial,
derisive,
banish,done
sentimental,
empathetic,
spurn,
conducive,
inadvertent,
urbane,
buck,
fickle,
jargon,
assail,done
tawdry,done
genteel,
contemptuous,
hamstrung,
rankle,
surly,
pertinent,
rash,
savvy,
exasperate,
devolve,
impregnable,
exemplify,
irk,
elude,
foible,
smug,
impending,
enmity,
steadfast,
leery,
destitute,
taxing,
serene,done
retract,
quip,done
candidness,
peevish,
unseemly,
collusion,done
eke,
conniving,
discord,
squander,done
unprecedented,
diligent,done
credulity,
tact,done
pastoral,
brusquely,
tarnish,
ploy,
tribulation,
behooves,
cavalier,done
cerebral,done
evenhanded,
forthright,
finagle,
cohesive,
profusion,
incense,
delegate,done
besmirch,
industrious,done
foolhardy,
antedate,
begrudge,
eccentric,
rakish,
veneer,
humdrum,
fawn,
glean,
docile,
prevail,done
incumbent,done
avert,
rile,
redress,
colossal,
compound,done
aphorism,
balk,
malodorous,
paradoxical,
chivalrous,
discreet,
excruciating,
differentiate,done
besiege,
decimation,
provisional,
antiquated,
perquisite,
snub,
cumbersome,done
stymie,
dilapidated,
inarticulate,done
evasive,
inkling,
complementary,
dispatch,
amply,
debunk,
cosmopolitan,done
creditable,
hamper,
obliging,
resignation,
base,done
beg,done
malfeasance,
kowtow,
chary,
expansive,
insufferable,
arrant,
byzantine,done
apostate,
turpitude,
expunge,
defray,
cow,
pariah,
exegesis,
imbibe,
vicissitude,
prosaic,
ponderous,done
nadir,
anathema,
supercilious,
catholic,
hector,
quisling,
bilious,
excoriate,
venial,
arch,done
parvenu,
curmudgeon,
apotheosis,
tendentious,
maudlin,
mellifluous,
fell,done
picayune,
hedge,done
factitious,
sententious,
pyrrhic,
martinet,
execrate,
jejune,
sangfroid,
cupidity,
sybarite,
mulct,
Pollyannaish,
protean,
benighted,
malapropism,
phantasmagorical,
expurgate,
derelict,
prognostication,
enthrall,
gaffe,
umbrage,
temerity,
flummox,
plucky,
anemic,
lugubrious,
epiphany,
portentous,
semblance,
enjoin,
lampoon,
approbatory,
charlatan,
sagacious,
unforthcoming,
artlessness,
solecism,
illustrious,
hagiographic,
importuned,
hobble,
dovetail,
inviolate,
crestfallen,
firebrand,
magisterial,
patent,
corollary,
decry,
flippant,
incontrovertible,
hubris,
ossify,
celerity,
ribald,
irrefutable,
inure,
presentiment,
crystallize,
tempestuous,
encumber,
subterfuge,
spartan,
unpropitious,
machinate,
stalwart,
nonchalant,
puerile,
unflappable,
improvident,
impetuous,
peripatetic,
cosseted,
unviable,
objurgate,
percipient,
debonair,
philistine,done
deign,
chagrin,done
brook,
nettlesome,
solicitude,
chimera,
bristle,
embryonic,
vitriol,
artifice,
browbeat,
besotted,
chastise,
epigram,
arrogate,
baleful,
ersatz,
reprisal,
effervescent,
exemplar,
ineffable,
meteoric,
appurtenant,
inanity,
hoary,
bemoan,
antic,
untrammeled,
squelch,
obtuse,
autocratic,
inviolable,
vaunted,
gumption,
complicit,
dolorous,
transmute,
desiccated,
unimpeachable,
pontificate,
bromide,
conflagration,
malingerer,
desideratum,
facile,
unassailable,
afford,
discursive,
aplomb,
fecund,
conflate,
inequity,
assiduously,
proselytize,
elegiac,
tyro,
noisome,
demonstrative,
dissipate,
raillery,
diminutive,
surfeit,
capitulate,
trenchant,
infelicitous,
bastardization,
countermand,
panacea,
adjudicate,
graft,
pillory,
abrogate,
veritable,
despot,done
misattribute,
obtain,
evanescent,
bereft,
lachrymose,
extrapolate,
row,done
exiguity,
enamor,
eponym,
splenetic,
exorbitant,
simulacrum,
hoodwink,
egregious,
restive,
parochial,
qualify,done
maintain,done
undermine,
involved,done
wanting,
galvanize,
equivocal,
acrimony,
impertinent,
frugal,
vindicate,
aberration,
censure,done
auspicious,
profligate,
parsimonious,
amalgam,
venality,
ambivalent,
artful,done
castigate,done
imperil,done
frivolous,done
conspicuous,done
cryptic,done
predilection,done
volubility,done
preclude,done
resource,done
concede,done
lambast,done
incisive,done
apathetic,done
dictatorial,done
fortuitous,done
prescience,done
superfluous,done
gall,done
inexorable,done
decorous,done
vociferous,done
culminate,done
culpability,done
impudent,done
aesthete,done
obscure,done
germane,done
mawkish,done
eschew,done
rustic,done
entrenched,
chortle,done
precocious,
denote,
jingoism,
insidious,
jubilant,done
avaricious,
languid,
perceive,done
rudimentary,
tantamount,
frustrate,
derive,
quotidian,
unequivocal,
register,
elucidate,
forlorn,done
circumvent,done
panache,
contrive,done
access,done
vehement,done
vilify,done
heretic,
tenacious,
negligible,done
belligerent,
magnanimous,
haughty,
staunch,
indifference,
unscrupulous,
construe,
pundit,
temperance,
ingratiate,
idiosyncrasy,done
bumbling,
largess,done
myopic,
laudable,
apocryphal,
forthcoming,
provincial,done
intransigent,
exacting,
abstruse,
expound,
exalt,done
incorrigible,
hackneyed,
admonitory,
contingent,
acerbic,
capacity,done
sycophant,
insolent,
dilettante,
arcane,
inimical,
tempered,
scrupulous,
hegemony,done
munificent,
intrepid,
winsome,
audacity,
trite,
circumscribe,
inscrutable,
constituent,done
pedestrian,
prodigious,
irrevocable,
resurgent,
haphazard,
poignant,
deleterious,
economical,
harried,
mendacity,
dilatory,
stringent,
maladroit,
rebuke,
truncate,
sullen,
imprudent,
anomaly,
indecorous,
polemic,
opulence,
timorous,
nuance,
furtive,done
jovial,
